"","Brand","Model","Accel","TopSpeed","Range","Efficiency","FastCharge","RapidCharge","PowerTrain","PlugType","BodyStyle","Segment","Seats","PriceEuro"
"1","Tesla","Model 3 Long Range Dual Motor",4.6,233,450,161,940,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Sedan","D",5,55480
"2","Volkswagen","ID.3 Pure",10,160,270,167,250,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","C",5,30000
"3","Polestar","2",4.7,210,400,181,620,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Liftback","D",5,56440
"4","BMW","iX3",6.8,180,360,206,560,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","SUV","D",5,68040
"5","Honda","e",9.5,145,170,168,190,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","B",4,32997
"6","Lucid","Air",2.8,250,610,180,620,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Sedan","F",5,105000
"7","Volkswagen","e-Golf",9.6,150,190,168,220,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","C",5,31900
"8","Peugeot","e-208",8.1,150,275,164,420,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","B",5,29682
"9","Tesla","Model 3 Standard Range Plus",5.6,225,310,153,650,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Sedan","D",5,46380
"10","Audi","Q4 e-tron",6.3,180,400,193,540,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","D",5,55000
"11","Mercedes","EQC 400 4MATIC",5.1,180,370,216,440,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","D",5,69484
"12","Nissan","Leaf",7.9,144,220,164,230,"Rapid charging possible","Front Wheel Drive","Type 2 CHAdeMO","Hatchback","C",5,29234
"13","Hyundai","Kona Electric 64 kWh",7.9,167,400,160,380,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,40795
"14","BMW","i4",4,200,450,178,650,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Sedan","D",5,65000
"15","Hyundai","IONIQ Electric",9.7,165,250,153,210,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Liftback","C",5,34459
"16","Volkswagen","ID.3 Pro S",7.9,160,440,175,590,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","C",4,40936
"17","Porsche","Taycan Turbo S",2.8,260,375,223,780,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Sedan","F",4,180781
"18","Volkswagen","e-Up!",11.9,130,195,166,170,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","A",4,21421
"19","MG","ZS EV",8.2,140,220,193,260,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,30000
"20","Mini","Cooper SE",7.3,150,185,156,260,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","B",4,31681
"21","Opel","Corsa-e",8.1,150,275,164,420,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","B",5,29146
"22","Tesla","Model Y Long Range Dual Motor",5.1,217,425,171,930,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","D",7,58620
"23","Skoda","Enyaq iV 50",10,160,290,179,230,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","SUV","C",5,35000
"24","Audi","e-tron GT",3.5,240,425,197,850,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Sedan","F",4,125000
"25","Tesla","Model 3 Long Range Performance",3.4,261,435,167,910,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Sedan","D",5,61480
